ID,Date,Tweet,Reply_count,Retweet_count,Like_count
1322194045612032002,2020-10-30 15:10:00+00:00,"They say never read the comments –– well, I did anyway. https://t.co/f6WagAxkNb",2968,9014,62786
1322168741111672832,2020-10-30 13:29:27+00:00,"4 days to prevent another 4 years.

Vote: https://t.co/eoxT07d7QB",5063,24522,191668
1321983911057129472,2020-10-30 01:15:00+00:00,"This storm will pass, and a new day will come. https://t.co/PewrMRuRXx",8303,20258,208357
1321967552965218305,2020-10-30 00:10:00+00:00,"Now more than ever, we need a president who will choose compassion over cruelty.",8886,20443,206394
1321960506425450496,2020-10-29 23:42:00+00:00,This election is about so much more than policy. The character of our country is on the ballot. And @KamalaHarris and I will work every day to bring this country back together — fighting as hard for those who don’t support us as those who do. https://t.co/IIhhcxDeL2,3193,4492,31759
1321949962494636032,2020-10-29 23:00:06+00:00,"Here’s the bottom line: When we vote, things get better. Tune in as we hold a get out the vote rally in Tampa Bay, Florida. https://t.co/rJ2nbiDlOE",2103,1947,11545
1321942639109918720,2020-10-29 22:31:00+00:00,"You have my word: if I have the honor of serving as your president, I will do everything in my power to defeat COVID-19.

Here’s my plan to get it done: https://t.co/zUWDfi0yQ8",3239,5654,36317
1321933578897248256,2020-10-29 21:55:00+00:00,"Enough of the lies.

Vote him out: https://t.co/eoxT07uII9 https://t.co/iTdiPVy8FA",3573,8921,40111
1321926461054423040,2020-10-29 21:26:43+00:00,"The future of our country is on the ballot — and you get to decide what it looks like.

Vote: https://t.co/eoxT07d7QB",2936,5212,44691
1321915963399352321,2020-10-29 20:45:00+00:00,"Christen — tell your grandmother I’m incredibly grateful to have her support, and thank you for helping her cast her ballot. https://t.co/zRKbAPvqgF",1551,9970,136425
1321910929806819328,2020-10-29 20:25:00+00:00,".@KamalaHarris y yo no solo reconstruiremos las cosas como eran antes de estas crisis, sino que reconstruiremos un mejor país que antes, para crear una nueva economía estadounidense. Mira la explicación de mi amigo @JulianCastro. https://t.co/11usNr3tfv",1058,1557,8169
1321904638992396288,2020-10-29 20:00:00+00:00,Donald Trump is on track to become the worst jobs president in modern American history. https://t.co/gmjwbHeuOS,4108,16732,59422
